gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
GABBR1	Hannum	7	8.56837315685872e-06	0.00051214529955205	0	7	82
CASZ1	Hannum	7	1.01519791603468e-05	0.000568196990674247	0	7	83
RPH3AL	Hannum	7	1.16780211670548e-05	0.000493794535960021	0	7	84
SNHG14	Hannum	7	1.33787896167738e-05	0.000664356986071598	0	7	85
UVSSA	Hannum	7	1.39273224768457e-05	0.000400551986781457	0	7	86
MYT1L	Hannum	7	1.69966167081314e-05	0.000651166973950626	0	7	87
WDR27	Hannum	7	2.04759392160871e-05	0.000343613247307641	0	7	88
HERC2	Hannum	7	2.04808542276094e-05	0.000414198091190763	0	7	89
PACRG	Hannum	7	2.37054493279319e-05	0.000462414023841925	1	6	90
SNTG2	Hannum	7	3.09815665116987e-05	0.000640901644397	0	7	91
BRD9	Hannum	7	4.32012168451177e-05	0.000367432656329893	0	7	92
WDR60	Hannum	7	5.04501629218896e-05	0.000418553624482255	0	7	93
ACSF3	Hannum	7	6.3255424086128e-05	0.000477151879117944	0	7	94
TPO	Hannum	7	6.72629058787177e-05	0.000599496264126129	0	7	95
C6orf10	Hannum	7	8.10208627360418e-05	0.000861154018484201	0	7	96
GPR133	Hannum	7	0.000100778895137441	0.000621873795527233	0	7	97
PRKAG2	Hannum	7	0.000105567019681238	0.000811282993819527	0	7	98
STK32C	Hannum	7	0.000106611657893448	0.000858949747410306	0	7	99
SLC38A10	Hannum	7	0.000109179403261537	0.000558974990217647	0	7	100
TNXB	Hannum	7	0.000115743540872726	0.000556988006095544	0	7	101
PACS2	Hannum	7	0.000115858232637225	0.00047260492152084	0	7	102
EP400	Hannum	7	0.000161189171143226	0.000396212309467348	0	7	103
CUX2	Hannum	7	0.00016530390001668	0.000416231839568815	2	5	104
GRAMD4	Hannum	7	0.000172055710121176	0.000576047505229181	0	7	105
NXN	Hannum	7	0.000184736874414408	0.000425084900582899	0	7	106
XXYLT1	Hannum	7	0.000188245115763065	0.00077320163885096	0	7	107
CARD11	Hannum	7	0.000356206257807336	0.000257000945945102	0	7	108
DLGAP2	Hannum	7	0.000639878374862172	0.000454070331572309	0	7	109
ADAP1, COX19	Hannum	6	7.82032603933061e-07	0.000458727703543214	1	5	110
DNAJB6	Hannum	6	4.91432229848002e-06	0.000699182858738535	0	6	111
OCA2	Hannum	6	1.06066511322686e-05	0.000394013430433745	0	6	112
COLEC11	Hannum	6	1.11776207598118e-05	0.00083994480595785	0	6	113
ZC3H3	Hannum	6	2.23670689384705e-05	0.000462986675834986	1	5	114
XKR6	Hannum	6	2.27269607966241e-05	0.000467066170687169	0	6	115
GRM4	Hannum	6	2.55067586019287e-05	0.000738904257334653	0	6	116
JARID2	Hannum	6	2.82870757826785e-05	0.000795249196862047	0	6	117
TUBGCP2	Hannum	6	3.6013201083521e-05	0.000470267436429071	0	6	118
NFIC	Hannum	6	4.00717718243047e-05	0.000628847939807283	0	6	119
TMEM204, IFT140	Hannum	6	5.00985059234451e-05	0.000589379820619468	1	5	120
SPG7	Hannum	6	5.39716597274782e-05	0.000359892971588031	0	6	121
NPHP4	Hannum	6	5.83527601651666e-05	0.000337477009192505	0	6	122
APBA2	Hannum	6	5.93228732302477e-05	0.000619662910471993	0	6	123
TOLLIP	Hannum	6	8.68718281957246e-05	0.000406407856269034	0	6	124
DNAH17	Hannum	6	0.00011199614183897	0.00051338451435085	0	6	125
AMZ1	Hannum	6	0.000121933506155741	0.00035189596950159	0	6	126
PLEKHG5	Hannum	6	0.000131303407029532	0.000765711944224537	0	6	127
GPR123	Hannum	6	0.000143068541725913	0.00042243555413845	1	5	128
CBFA2T3	Hannum	6	0.000143522746402461	0.000503649747593705	0	6	129
PCGF3	Hannum	6	0.000148175644936552	0.000492042245034031	0	6	130
GSE1	Hannum	6	0.000276420155255676	0.000545300989757281	0	6	131
SNX29P2	Hannum	6	0.000354375891681936	0.000484419071283806	0	6	132
TENM4	Hannum	6	0.000359817550430219	0.000496517654449063	0	6	133
VIPR2	Hannum	6	0.000451171310515281	0.00054952135301672	0	6	134
PFKFB3	Hannum	5	3.05875455617631e-07	0.00102048937434678	0	5	135
AUTS2	Hannum	5	1.48730025755844e-06	0.00072498273125743	0	5	136
PIP5K1C	Hannum	5	4.72492966133318e-06	0.000600606067813405	0	5	137
COL11A2	Hannum	5	6.40148973185732e-06	0.000452288987009796	0	5	138
ADCY9	Hannum	5	7.36507506490898e-06	0.000535345659180965	0	5	139
AHRR	Hannum	5	8.37429968940222e-06	0.000437505827944409	0	5	140
ACOT7	Hannum	5	1.09798030373927e-05	0.000508503640126478	0	5	141
MBP	Hannum	5	1.57286419060982e-05	0.000624439679809062	0	5	142
SEPT9	Hannum	5	2.65331511690083e-05	0.00102984697378925	2	3	143
ITPR3	Hannum	5	3.43644344619201e-05	0.000741895683339132	0	5	144
CMIP	Hannum	5	3.48517231130464e-05	0.000414620175816972	0	5	145
MAPK8IP3	Hannum	5	4.11743129215412e-05	0.000389061171119207	0	5	146
ATP10A	Hannum	5	5.04501629218896e-05	0.000447473707360821	0	5	147
WRAP73	Hannum	5	5.47322685956328e-05	0.000379416304077652	0	5	148
SYNJ2	Hannum	5	5.63700093424476e-05	0.00040644162310768	0	5	149
MSANTD1	Hannum	5	5.84935925912481e-05	0.000425501281977617	0	5	150
ANKLE2	Hannum	5	5.99949036830822e-05	0.000666838579447057	0	5	151
KLHL29	Hannum	5	6.06328606334738e-05	0.000549051285354209	0	5	152
DYNC1H1	Hannum	5	8.75288833332016e-05	0.000413893214599437	0	5	153
MSI2	Hannum	5	8.83007486915436e-05	0.000453312648506453	1	4	154
CACNA1H	Hannum	5	9.07656383362125e-05	0.00051746819726312	0	5	155
PPP2R2D	Hannum	5	9.34502421776007e-05	0.000354207335486813	0	5	156
WNT5B	Hannum	5	9.64332662249403e-05	0.0004622712217652	0	5	157
CHFR	Hannum	5	9.74293679449344e-05	0.000337004605916181	0	5	158
TRIO	Hannum	5	0.000103961956477235	0.000430581877222909	0	5	159
ZFPM1	Hannum	5	0.000105247832970891	0.000455682010666343	0	5	160
IGSF9B	Hannum	5	0.000108772819226776	0.000626027234925666	0	5	161
POLE	Hannum	5	0.00011199614183897	0.000702343031115107	0	5	162
CDC42BPB	Hannum	5	0.00011425404375314	0.000460767835800437	0	5	163
CARS2	Hannum	5	0.00011516512468277	0.000345921616987005	0	5	164
FAM20C	Hannum	5	0.000117385174255232	0.000457576862801229	1	4	165
RBFOX3	Hannum	5	0.000128956542960898	0.000870317344901157	2	3	166
FAT1	Hannum	5	0.000145845677384813	0.000446168908269716	0	5	167
VGLL4	Hannum	5	0.000149701635238603	0.000463521677064666	0	5	168
LRP1	Hannum	5	0.000170213345632108	0.00035379167971325	0	5	169
CTDP1	Hannum	5	0.00020367577623344	0.000430208601134741	0	5	170
BRF1	Hannum	5	0.000214510128751895	0.000444251666842996	0	5	171
NADK	Hannum	5	0.000218061061269171	0.000579527856631778	0	5	172
AATK	Hannum	5	0.00024889193745711	0.000902838309794836	0	5	173
HGS	Hannum	5	0.000252935791989023	0.000407861565722688	0	5	174
MAEA	Hannum	5	0.00026502631136716	0.0006598171336081	1	4	175
SLC45A1	Hannum	5	0.000267043497791222	0.00049680165442695	0	5	176
KAZN	Hannum	5	0.000299341382359917	0.000511176500606223	0	5	177
ZFYVE28	Hannum	5	0.000316436808242887	0.000624077273632257	0	5	178
MSRA	Hannum	5	0.000321627397851629	0.000384214548114965	0	5	179
WHSC1	Hannum	5	0.000323107463179577	0.000389791080713928	0	5	180
CTBP1	Hannum	5	0.000370177492955602	0.000429768499072183	0	5	181
CLCN7	Hannum	5	0.000399117411446388	0.000400698452645407	0	5	182
TRIM26	Hannum	5	0.000613411452646262	0.000327134098777514	0	5	183
IQSEC1	Hannum	5	0.000675706297957637	0.000347930076280855	0	5	184
PDE10A	Hannum	5	0.000728733213019199	0.000513725100580763	0	5	185
SDF4	Hannum	5	0.000766138380739085	0.000407013202034598	0	5	186
TCF3	Hannum	5	0.00122909399962713	0.000550628927643157	0	5	187
HIVEP3	Hannum	4	4.05090985325288e-07	0.00098394129626235	1	3	188
PWWP2B	Hannum	4	2.12435089561469e-06	0.00072099894477295	0	4	189
MYOM2	Hannum	4	3.4750928360431e-06	0.000851133696560327	1	3	190
CA5A	Hannum	4	3.85979747323232e-06	0.000761783754095218	0	4	191
TNS3	Hannum	4	5.27674393202915e-06	0.000762702697927369	0	4	192
BIN1	Hannum	4	5.73105629059178e-06	0.000641666406801495	0	4	193
GNA12	Hannum	4	5.84400100363569e-06	0.000856814684013753	0	4	194
KIAA0556	Hannum	4	6.57492628853025e-06	0.000506020950960047	0	4	195
SPOCK2	Hannum	4	1.15001215770366e-05	0.000777929113256419	2	2	196
PDE6B	Hannum	4	1.53073173391644e-05	0.000465823733519232	0	4	197
TRIM2	Hannum	4	1.65207530794967e-05	0.000660715848836962	0	4	198
EXD3	Hannum	4	1.88553418300513e-05	0.000475091115681323	0	4	199
COL23A1	Hannum	4	2.06895803833503e-05	0.000784757128990106	0	4	200
ATAD3A	Hannum	4	2.11712205569351e-05	0.000495293024640052	0	4	201
CCDC57	Hannum	4	2.17273865960967e-05	0.000899225830051285	1	3	202
SNED1, AC005237.4	Hannum	4	2.17629005168415e-05	0.00102813407789681	1	3	203
PIGG	Hannum	4	2.27896028192364e-05	0.000378567316449959	0	4	204
CHID1	Hannum	4	2.33517262842616e-05	0.000443531320508629	0	4	205
PARK2	Hannum	4	2.4977456492462e-05	0.000594096102841881	0	4	206
GLB1L2	Hannum	4	2.55377251465667e-05	0.000477659414633288	0	4	207
WWOX	Hannum	4	2.74124569802786e-05	0.000449604340626294	0	4	208
ZFHX3	Hannum	4	3.0059705022897e-05	0.000487975259305951	0	4	209
SH3TC1	Hannum	4	3.01319823535951e-05	0.000579400064038689	1	3	210
PLEC	Hannum	4	3.03147127619019e-05	0.00125872230350384	1	3	211
PSMG4, SLC22A23	Hannum	4	3.24602494474429e-05	0.000367233015703101	0	4	212
NADSYN1	Hannum	4	3.26899541275331e-05	0.000454751485070396	0	4	213
DPP6	Hannum	4	3.59271532666316e-05	0.000709345007113999	0	4	214
ADAMTS2	Hannum	4	3.7153032175459e-05	0.000549176885285137	0	4	215
C1orf159	Hannum	4	4.23078110492674e-05	0.000459077736184583	0	4	216
CLUH	Hannum	4	4.29415114799676e-05	0.000611911582958928	0	4	217
TTBK1	Hannum	4	4.42357231252657e-05	0.000562446615769307	0	4	218
GALNT2	Hannum	4	4.55764250466755e-05	0.000524097906685977	0	4	219
SCARB1	Hannum	4	5.55671666751714e-05	0.00099341079866886	0	4	220
MUC4	Hannum	4	5.58753543226115e-05	0.000846711261442004	0	4	221
TSC2	Hannum	4	5.58775328627329e-05	0.000397273494986337	0	4	222
TBC1D14	Hannum	4	5.8348094632555e-05	0.000703093521116865	0	4	223
