outcome,build,nsnp,beta,se,pval,fdr
PRDX1_Q06830_OID20962_v1_Neurology,GRCh37,84,0.0252522334668165,0.00934446841980194,0.00688466060854485,0.00814740811528284
KIR3DL1_P43629_OID21185_v1_Oncology,GRCh37,84,0.0168916278541152,0.00625302268167013,0.00690577917415068,0.00816841554192567
GYS1_P13807_OID20097_v1_Cardiometabolic,GRCh37,84,-0.0250187938911468,0.00926474713552531,0.00692500701714809,0.00818716716549769
TOMM20_Q15388_OID30353_v1_Cardiometabolic_II,GRCh37,84,-0.0251027178373711,0.00932464126929685,0.00710070522653522,0.00839079925941278
CRISP2_P16562_OID21456_v1_Oncology,GRCh37,84,0.0179136043777623,0.00665914515712984,0.00714358186021216,0.00843735617958847
LAYN_Q6UX15_OID20970_v1_Neurology,GRCh37,84,0.0230353691018864,0.00858981539984873,0.0073247556523785,0.0086471324635865
JAM3_Q9BX67_OID30586_v1_Inflammation_II,GRCh37,84,-0.0249933044469525,0.00932406982207651,0.00735090775727589,0.00867378512604636
TIGAR_Q9NQ88_OID20894_v1_Neurology,GRCh37,84,0.0254524509111769,0.00958200309410657,0.00790087727320084,0.0093181955589622
LCN15_Q6UWW0_OID31032_v1_Neurology_II,GRCh37,84,0.0228178743510517,0.00860098107990575,0.00797943941004617,0.00940627794400972
MMP7_P09237_OID20087_v1_Cardiometabolic,GRCh37,84,0.0234139999073561,0.00882750602226783,0.00799238649072773,0.00941694382756382
NUCB2_P80303_OID21448_v1_Oncology,GRCh37,84,-0.0235263285007393,0.00887040172110252,0.00799625073568898,0.00941694382756382
S100A4_P26447_OID21519_v1_Oncology,GRCh37,84,0.0243971697575116,0.00920491666675072,0.0080384666492975,0.00946206700203577
WFDC12_Q8WWY7_OID21462_v1_Oncology,GRCh37,84,0.0194801368999688,0.00738155978035339,0.00831443142184336,0.00978215840416682
IL1B_P01584_OID20427_v1_Inflammation,GRCh37,84,0.0248390258359927,0.00942069087596859,0.0083730188024966,0.00984631294951855
SERPINA1_P01009_OID30750_v1_Inflammation_II,GRCh37,84,0.0249054196854495,0.00945650842448967,0.00844649838428585,0.00992790943811893
GABARAPL1_Q9H0R8_OID31253_v1_Oncology_II,GRCh37,84,0.0250940449335434,0.00956278235958963,0.00868689977013876,0.0102055297057417
IL7_P13232_OID20535_v1_Inflammation,GRCh37,84,-0.0245826916281783,0.00937964119899818,0.0087709226666569,0.0102992538186397
DEFB118_Q96PH6_OID30858_v1_Neurology_II,GRCh37,84,0.0250489123205309,0.00964052018677231,0.0093688054780047,0.0109959952054375
STX3_Q13277_OID31090_v1_Neurology_II,GRCh37,84,-0.0244123301679982,0.00940709696039855,0.00945641957118361,0.0110934593228682
NARS1_O43776_OID31035_v1_Neurology_II,GRCh37,84,-0.0241327537108125,0.00932019553461197,0.00961721264895907,0.0112766350344972
PFKFB2_O60825_OID21356_v1_Oncology,GRCh37,84,0.0234757636339564,0.00913292954583039,0.0101565688204899,0.0118988647965097
OGFR_Q9NZT2_OID21360_v1_Oncology,GRCh37,84,-0.0233770854465016,0.00909467506070567,0.0101576871366742,0.0118988647965097
PTEN_P60484_OID20794_v1_Neurology,GRCh37,84,-0.0245412385573113,0.00957974005752048,0.0104135631120944,0.0121927143387746
CLIC5_Q9NZA1_OID30890_v1_Neurology_II,GRCh37,84,-0.0244186338449456,0.00953621305945457,0.0104485068857174,0.0122277268233239
IL11_P20809_OID20455_v1_Inflammation,GRCh37,84,-0.0244819826610918,0.0095725580948144,0.0105422322638484,0.0123314635834601
NGRN_Q9NPE2_OID31115_v1_Neurology_II,GRCh37,84,-0.0240778882424745,0.00941825911748114,0.0105727560176697,0.0123612077584899
SORD_Q00796_OID21453_v1_Oncology,GRCh37,84,0.023370122065677,0.00914970230121173,0.0106433691120245,0.0124377714189651
TFF1_P04155_OID21154_v1_Neurology,GRCh37,84,0.0222372958088977,0.00874405550406294,0.0109863412501078,0.0128323851096589
UNC79_Q9P2D8_OID31181_v1_Oncology_II,GRCh37,84,-0.0241164349271115,0.00952718803415926,0.0113631631815124,0.0132661375737964
PRSS2_P07478_OID20364_v1_Cardiometabolic,GRCh37,84,0.0232599451033982,0.00921468375446037,0.0115953329109611,0.0135306770764751
IKBKG_Q9Y6K9_OID20544_v1_Inflammation,GRCh37,84,-0.0230254643387471,0.00913149708156984,0.0116841328848381,0.0136277434512583
NECTIN1_Q15223_OID30545_v1_Inflammation_II,GRCh37,84,-0.0240391779140074,0.00955555266740138,0.0118786587805862,0.013847970303557
EIF5A_P63241_OID20423_v1_Inflammation,GRCh37,84,0.0241063128593867,0.009599110646694,0.0120285071218829,0.0140159261660365
PITHD1_Q9GZP4_OID31215_v1_Oncology_II,GRCh37,84,-0.0240418283193342,0.00965474935512012,0.0127687174529769,0.0148712955069237
MME_P08473_OID21307_v1_Oncology,GRCh37,84,-0.0209296480898861,0.00841589214294624,0.0128854474398532,0.0150000458200979
SEMA7A_O75326_OID20283_v1_Cardiometabolic,GRCh37,84,0.0223927070503474,0.00900719226262166,0.012915463532314,0.0150277767527068
SERPINB9_P50453_OID20932_v1_Neurology,GRCh37,84,-0.023243029023983,0.00936311637364619,0.0130499559132855,0.0151769861196696
S100A3_P33764_OID31352_v1_Oncology_II,GRCh37,84,-0.0234945047566052,0.0094913520992202,0.0133102271194784,0.0154722620948034
FLT3LG_P49771_OID20661_v1_Inflammation,GRCh37,84,-0.0214014814139546,0.00869858059091263,0.01388047525271,0.0161274104229284
PRR4_Q16378_OID30607_v1_Inflammation_II,GRCh37,84,-0.0195856827771217,0.00796133753805558,0.0138898487863342,0.0161305759481316
PARP1_P09874_OID20500_v1_Inflammation,GRCh37,84,-0.0225409848774241,0.00916766627538026,0.0139422284785016,0.016183658511409
IL2_P60568_OID20419_v1_Inflammation,GRCh37,84,0.0235517586265981,0.00960020556680067,0.0141569681821835,0.0164250620803334
TRAF3IP2_O43734_OID30054_v1_Cardiometabolic_II,GRCh37,84,-0.023575214687589,0.00961526807509084,0.014212308643941,0.0164813866014345
IGSF3_O75054_OID21312_v1_Oncology,GRCh37,84,-0.0223382439911801,0.0091402821891447,0.0145280946761648,0.0168395402218709
NOP56_O00567_OID30055_v1_Cardiometabolic_II,GRCh37,84,-0.0235218504765747,0.00963011544476353,0.0145846980820328,0.0168903933102503
MPIG6B_O95866_OID20779_v1_Inflammation,GRCh37,84,-0.0228824865462591,0.00936846584435903,0.014585891997104,0.0168903933102503
ST6GAL1_P15907_OID20302_v1_Cardiometabolic,GRCh37,84,0.0220544730152215,0.00910577483643586,0.0154340148183248,0.0178639885254084
PRDX6_P30041_OID21404_v1_Oncology,GRCh37,84,0.0221564973137439,0.009151540190425,0.0154749998387167,0.017902884887328
GUCA2A_Q02747_OID21101_v1_Neurology,GRCh37,84,-0.0219899594011958,0.00911516007364325,0.0158452744310786,0.018322514666252
