gene_symbol	MTI_continuous	GNN_EXERCISE_SUP_MTI_MULTI_pred	GNN_EXERCISE_SUP_MTI_MULTI_multi_prob	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly_scaled	GNN_EXERCISE_SUP_MTI_MULTI_hybrid_score	GNN_EXERCISE_SUP_MTI_MULTI_rank	GNN_EXERCISE_SUP_MTI_MULTI_rank_scaled	MR_nominal_any
ADGRG1	0.0255938078907011	0.44938207	0.07860474	865	0.7136228041100431	0.30723596	925	0.6937354988399071	True
DNM3	-0.0848519901517399	0.1931989	0.087981425	964	0.6808087504143189	0.30685037	926	0.6934040437520715	True
VPS53	-0.140511161273247	0.19923021	0.08714338	961	0.6818031156778257	0.3030425	927	0.693072588664236	True
LY96	0.605207188564448	0.98484445	0.05815243	744	0.7537288697381505	0.30276385	928	0.6927411335764004	True
IL22RA1	-0.0977930760368853	-0.27332044	0.10444632	1143	0.6214782896917468	0.3023739	929	0.6924096784885648	True
RELT	-0.103522418387421	0.4485076	0.077433616	866	0.7132913490222075	0.29979527	931	0.6917467683128936	True
TNFRSF10B	-0.0411530820570711	0.528575	0.07375119	830	0.725223732184289	0.29526693	932	0.691415313225058	True
PRKAR2A	-3.57719214497485	-3.9822345	0.2397432	2198	0.2717931720251906	0.29397887	933	0.6910838581372224	True
IGFBP2	0.143138105276191	0.8567381	0.061054174	763	0.7474312230692741	0.29152054	934	0.6907524030493868	True
SLK	0.0053336043882467	0.15284652	0.08676516	973	0.6778256546237985	0.29013655	935	0.6904209479615512	True
TPSAB1	-0.454604428444382	0.14234139	0.08689859	978	0.6761683791846205	0.28856826	937	0.68975803778588	True
CSH1	4.26078342777165	0.85082734	0.060779884	765	0.7467683128936029	0.28847793	938	0.6894265826980445	True
AMOT	3.8082696130163	-0.6839429	0.11725436	1269	0.5797149486244614	0.2880205	939	0.6890951276102089	True
F9	0.115566872704496	0.5610553	0.071221314	825	0.726881007623467	0.28702366	940	0.6887636725223732	True
HS1BP3	0.079514272395042	0.5087212	0.07293743	838	0.7225720914816043	0.285712	941	0.6884322174345376	True
SCGB3A1	2.44129739479321	1.3071965	0.04345403	691	0.7712959893934372	0.28531837	942	0.688100762346702	True
SNRPB2	0.298057132574093	0.6581487	0.06731368	803	0.7341730195558502	0.28498167	943	0.6877693072588664	True
EGLN1	-0.62023707787207	-0.26862466	0.10136302	1139	0.6228041100430891	0.28437862	944	0.6874378521710308	True
PMCH	1.42027431365343	1.0229236	0.05365294	735	0.7567119655286708	0.28361738	946	0.6867749419953596	True
DKKL1	1.76171506415015	0.6390722	0.06725726	805	0.733510109380179	0.2802868	948	0.6861120318196884	True
NPY	-0.0301267372985186	0.7983604	0.061187353	773	0.7441166721909181	0.27904427	950	0.6854491216440173	True
STAM	-0.0700208587059846	0.35880095	0.07724189	900	0.7020218760357971	0.2781725	951	0.6851176665561817	True
CCDC50	0.143346217036616	0.5460539	0.07027275	827	0.7262180974477959	0.27774072	952	0.6847862114683461	True
GP1BB	-0.0425201404485261	0.7670916	0.061678596	779	0.7421279416639045	0.27495795	953	0.6844547563805105	True
KIR2DS4	0.0304767310546824	0.7487736	0.06224742	782	0.7411335764003978	0.2743019	954	0.6841233012926748	True
TERF1	-0.0558108278057475	0.3403659	0.07697519	906	0.7000331455087836	0.27232343	955	0.6837918462048392	True
BAIAP2	-0.33316308549138	-0.55479	0.109465875	1226	0.5939675174013921	0.2692859	956	0.6834603911170036	True
OTUD7B	-0.0933211461152317	-0.64281976	0.11270372	1255	0.5843553198541598	0.26925123	957	0.683128936029168	True
ANG	0.475338263173737	0.9362837	0.054502297	749	0.7520715942989725	0.26913062	958	0.6827974809413324	True
KRT14	-0.0343805108690323	0.2833621	0.0782579	927	0.693072588664236	0.267268	959	0.6824660258534968	True
OPTC	0.145444163805549	0.07702468	0.08542336	1007	0.6665561816373882	0.26456577	960	0.6821345707656613	True
AMY1A	2.13454439356312	1.0164269	0.050659593	736	0.7563805104408353	0.26362845	961	0.6818031156778257	True
CEP112	0.252878431663692	-0.57649976	0.109238215	1234	0.5913158766987073	0.2629322	963	0.6811402055021545	True
ESM1	0.0777847470436256	0.80818224	0.057845045	770	0.745111037454425	0.26061526	965	0.6804772953264833	True
CXCL12	0.610357961388426	0.87654203	0.05527135	759	0.7487570434206166	0.2602753	966	0.6801458402386477	True
CCNE1	2.37454825817681	-0.76683605	0.115679525	1288	0.573417301955585	0.25939775	967	0.679814385150812	True
GJA8	0.0572318628132363	0.2550968	0.07793839	938	0.6894265826980445	0.25885287	968	0.6794829300629764	True
RNF5	-0.0538310029374911	0.8000312	0.05750687	771	0.7447795823665894	0.25666723	969	0.6791514749751408	True
CDC25A	2.94551717835043	-0.018435642	0.08757468	1044	0.654292343387471	0.25611997	970	0.6788200198873052	True
CXCL16	-0.0648566783558535	0.5253598	0.06751194	832	0.7245608220086178	0.2559551	971	0.6784885647994696	True
FZD10	-0.191780165741248	0.4171272	0.07138771	878	0.7093138879681803	0.25526232	972	0.6781571097116341	True
EDF1	0.136687751764167	0.9114728	0.053155735	751	0.7514086841233013	0.25515184	973	0.6778256546237985	True
SLMAP	-0.147703312719829	-0.16109978	0.092446156	1104	0.6344050381173351	0.2537395	974	0.6774941995359629	True
STAB2	2.37098058274916	-1.1099062	0.12689291	1359	0.5498839907192575	0.25057414	976	0.6768312893602917	True
XG	-1.47296513678648	-0.17316347	0.09226405	1111	0.6320848525024859	0.24986508	977	0.6764998342724561	True
CELSR2	0.0659793193196383	-0.052555628	0.08721671	1058	0.6496519721577726	0.24613315	978	0.6761683791846205	True
