gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
ACSF3	PhenoAge	9	1.07190638774765e-06	0.000268274902863778	0	9	77
GALNT9	PhenoAge	9	1.26797137952434e-06	0.00041801661100072	0	9	78
TERT	PhenoAge	9	1.32585735235591e-06	0.000256911585807826	0	9	79
BAIAP2	PhenoAge	9	2.42865907838701e-06	0.000370214882457181	0	9	80
PACS2	PhenoAge	9	4.47616128297853e-06	0.000397887773730641	0	9	81
EP400	PhenoAge	9	5.43410074167347e-06	0.00031427483287871	0	9	82
ANKRD11	PhenoAge	9	9.90273407065328e-06	0.000275888371599034	0	9	83
AUTS2	PhenoAge	8	2.38218298674548e-10	0.000378277569676109	0	8	84
XXYLT1	PhenoAge	8	2.56026510416792e-10	0.000529351735776592	0	8	85
SLC43A2	PhenoAge	8	8.92227651912453e-09	0.00100990089974992	0	8	86
CBFA2T3	PhenoAge	8	1.63232997042593e-08	0.000500087955072844	1	7	87
IQSEC1	PhenoAge	8	6.72450044571943e-08	0.000308008374186935	0	8	88
NADSYN1	PhenoAge	8	8.26548091991043e-08	0.000345278314131184	0	8	89
CAMTA1	PhenoAge	8	9.31768745171381e-08	0.000480935946378515	0	8	90
KDM4B	PhenoAge	8	1.28332886271322e-07	0.000405467970170838	0	8	91
ATP10A	PhenoAge	8	1.48445633845048e-07	0.000498451853968658	0	8	92
FAT1	PhenoAge	8	2.31780264682574e-07	0.000362921957252071	0	8	93
CYFIP1	PhenoAge	8	2.85695342338537e-07	0.000472681345930566	1	7	94
TBC1D16	PhenoAge	8	4.21967608062619e-07	0.000298436585089663	0	8	95
CTD-2281E23.2	PhenoAge	8	6.6936622518417e-07	0.000429160051008198	0	8	96
PXDN	PhenoAge	8	7.09043515168288e-07	0.000394414444498217	0	8	97
TNXB	PhenoAge	8	2.02132700757664e-06	0.000219943875183931	0	8	98
DLGAP2	PhenoAge	8	3.44655632367049e-06	0.000299383224677345	0	8	99
BRF1	PhenoAge	8	4.07720740279366e-06	0.000359901468473474	0	8	100
NCLN	PhenoAge	8	4.45273216860583e-06	0.00039935826009294	0	8	101
ZC3H3	PhenoAge	8	4.71291732061997e-06	0.000323404250029905	1	7	102
CTDP1	PhenoAge	8	5.57426096992288e-06	0.000287057463322738	0	8	103
KNDC1	PhenoAge	8	4.38929321670557e-05	0.000245007744834874	1	7	104
NPHP4	PhenoAge	8	0.000107495006070256	0.000342208287274035	0	8	105
PFKFB3	PhenoAge	7	2.86505915052351e-18	0.00079784742542512	0	7	106
ANK1	PhenoAge	7	2.32815676168172e-10	0.000504339845629063	0	7	107
HIVEP3	PhenoAge	7	5.88152280927482e-10	0.000561019209406021	1	6	108
OCA2	PhenoAge	7	3.01590403200573e-09	0.00036048934709242	0	7	109
SLC12A7	PhenoAge	7	1.30470750074419e-08	0.000403314455848975	1	6	110
COL23A1	PhenoAge	7	1.95822523552971e-08	0.000849663571790579	0	7	111
RAI1	PhenoAge	7	3.40562621969152e-08	0.000775511783833592	0	7	112
MAEA	PhenoAge	7	5.07400398396622e-08	0.000651974353562636	2	5	113
SYNJ2	PhenoAge	7	6.74759823337961e-08	0.000418100146656278	0	7	114
JARID2	PhenoAge	7	1.58917388777269e-07	0.000636654084935468	0	7	115
CHFR	PhenoAge	7	2.44937939503443e-07	0.0002421031795744	0	7	116
RP11-426C22.5	PhenoAge	7	3.51742764373208e-07	0.000529191297269748	0	7	117
ZCCHC14	PhenoAge	7	3.66289066614988e-07	0.000410689401108658	0	7	118
WDR37	PhenoAge	7	3.82795490278404e-07	0.000229296566809738	0	7	119
AMZ1	PhenoAge	7	3.97999684816546e-07	0.000310947319526377	0	7	120
PLEKHG5	PhenoAge	7	6.54167367369858e-07	0.00046233601136384	0	7	121
SLC7A5	PhenoAge	7	8.48737744552745e-07	0.000492070882281114	0	7	122
GNG7	PhenoAge	7	1.15605542653067e-06	0.000590629562826185	1	6	123
EIF2B5	PhenoAge	7	1.22528326467412e-06	0.000417019775965346	0	7	124
ZNRD1-AS1	PhenoAge	7	2.79259641932791e-06	0.000325837038147859	0	7	125
AP2A2	PhenoAge	7	3.17957615525807e-06	0.000480193246194177	0	7	126
UVSSA	PhenoAge	7	4.1103896159945e-06	0.000200739423550823	0	7	127
PIEZO1	PhenoAge	7	4.67109701517354e-06	0.000523758170119899	1	6	128
PDE10A	PhenoAge	7	6.76955644927013e-06	0.000300233750167018	0	7	129
CTBP1	PhenoAge	7	1.14254611908387e-05	0.000282018275330815	0	7	130
KCNAB2	PhenoAge	7	3.42502174462474e-05	0.000230348239219382	1	6	131
TRIM2	PhenoAge	6	4.40379362353793e-11	0.000519424311265719	0	6	132
OSBPL5	PhenoAge	6	2.16044098258768e-09	0.000924160207028788	0	6	133
SEPT9	PhenoAge	6	2.45025331862408e-08	0.000760265633597171	2	4	134
ZFYVE28	PhenoAge	6	6.88502880549605e-08	0.000545174142096129	0	6	135
FBXL18	PhenoAge	6	1.31503275140849e-07	0.000637674091758778	0	6	136
GRB10	PhenoAge	6	1.43093631687968e-07	0.000356076661067531	0	6	137
ZFHX3	PhenoAge	6	1.44121372889842e-07	0.00044182804532614	0	6	138
D2HGDH	PhenoAge	6	1.50708899019201e-07	0.000314372730086743	0	6	139
SCARB1	PhenoAge	6	1.58917388777269e-07	0.000633272809555527	0	6	140
COL11A2	PhenoAge	6	1.98328604064564e-07	0.000240108447700223	0	6	141
PEX14	PhenoAge	6	2.63636924765106e-07	0.000699904555367802	0	6	142
STK32C	PhenoAge	6	2.85330650246959e-07	0.00100108162521266	0	6	143
MGRN1	PhenoAge	6	3.15119155675969e-07	0.000796120442619527	0	6	144
KLHL29	PhenoAge	6	3.40470165639653e-07	0.000357090651784703	0	6	145
NFIC	PhenoAge	6	3.40606342587633e-07	0.000666056152988291	0	6	146
ACOT7	PhenoAge	6	3.75915310092642e-07	0.000392812306041428	0	6	147
GRAMD4	PhenoAge	6	4.17405851911614e-07	0.000370455763859185	0	6	148
OBSCN	PhenoAge	6	4.29189635283788e-07	0.000340396761630629	0	6	149
SFMBT2	PhenoAge	6	4.53581329229914e-07	0.000342825213177092	0	6	150
GNA12	PhenoAge	6	5.49540792434684e-07	0.000839828763247206	0	6	151
PTDSS2	PhenoAge	6	8.20477472081424e-07	0.0003771611253627	0	6	152
DNAJB6	PhenoAge	6	9.87028796913388e-07	0.000465646498022362	0	6	153
MUM1	PhenoAge	6	1.03534562311587e-06	0.000309976491744208	0	6	154
TOP1MT	PhenoAge	6	1.11202909518912e-06	0.000639268500948897	0	6	155
ACOX3	PhenoAge	6	1.14323925326964e-06	0.000342266808763053	0	6	156
TPO	PhenoAge	6	1.93369631654498e-06	0.000322255034791747	0	6	157
AHRR	PhenoAge	6	2.59674362372319e-06	0.000604269497756216	0	6	158
ADCY9	PhenoAge	6	2.72725982688177e-06	0.000222684296099103	0	6	159
POLE	PhenoAge	6	2.83011150584783e-06	0.000600305859227509	0	6	160
DNMT3A	PhenoAge	6	3.06677645678048e-06	0.000458307984430475	0	6	161
SNX8	PhenoAge	6	3.0829939547295e-06	0.000424159010254922	0	6	162
NOTCH1	PhenoAge	6	3.675791806785e-06	0.00078115224801682	1	5	163
SLC45A1	PhenoAge	6	4.87573146517283e-06	0.000328539987411842	0	6	164
DYNC1H1	PhenoAge	6	5.04276749782848e-06	0.000259423807303485	0	6	165
RERE	PhenoAge	6	7.32166463597098e-06	0.000526921716893056	0	6	166
VIPR2	PhenoAge	6	8.52637168876082e-06	0.000360457089399196	0	6	167
GLI2	PhenoAge	6	1.17669545775498e-05	0.000305993954987578	0	6	168
DGKZ	PhenoAge	6	1.36773524703348e-05	0.000341425772290368	0	6	169
TTYH3	PhenoAge	6	1.45147031989638e-05	0.000386160681428269	0	6	170
SNTG2	PhenoAge	6	1.52201748954566e-05	0.00033943296480002	0	6	171
TSC2	PhenoAge	6	1.6054423376213e-05	0.000228914361747555	0	6	172
TCF3	PhenoAge	6	4.04488218575315e-05	0.000438573855996609	0	6	173
JAKMIP3	PhenoAge	6	0.000244944740801178	0.000369858044045657	0	6	174
STK24	PhenoAge	5	1.09502937703453e-12	0.000866304178909526	1	4	175
TRAK1	PhenoAge	5	9.38892071903921e-12	0.000613220816998493	0	5	176
PIP5K1C	PhenoAge	5	5.77017364921364e-11	0.000461654174029854	0	5	177
CTC-467M3.1, LINC00461	PhenoAge	5	1.69811584588252e-09	0.000408593298522522	0	5	178
EXD3	PhenoAge	5	2.37547508602259e-09	0.000583082635792848	0	5	179
NADK	PhenoAge	5	4.8674348704218e-09	0.000454783744752962	0	5	180
ADAMTS2	PhenoAge	5	9.23391983752704e-09	0.000258669737217405	0	5	181
RAP1GAP2	PhenoAge	5	1.099847912607e-08	0.000855014578299998	0	5	182
CIT	PhenoAge	5	2.12742866748808e-08	0.000245884034946743	0	5	183
LMNB2	PhenoAge	5	3.12382144886497e-08	0.000592883013141408	0	5	184
TRIO	PhenoAge	5	4.41929875669879e-08	0.000429030664351213	0	5	185
CDYL	PhenoAge	5	5.37328283568293e-08	0.00063680446793725	0	5	186
APBA2	PhenoAge	5	6.89220940755206e-08	0.000615489659067768	1	4	187
GABBR1	PhenoAge	5	1.17334585481721e-07	0.000322889860740559	0	5	188
CHD5	PhenoAge	5	1.18617081546559e-07	0.000395040508601609	0	5	189
AHDC1	PhenoAge	5	1.36016834599246e-07	0.000619069589109722	0	5	190
MSI2	PhenoAge	5	1.51653739818182e-07	0.000616214980823908	0	5	191
AGAP3	PhenoAge	5	1.58881126842658e-07	0.000740052422225235	0	5	192
RAB40C	PhenoAge	5	1.82482550422933e-07	0.0005789959269865	0	5	193
SH3TC1	PhenoAge	5	1.84930638368247e-07	0.000738727028786733	1	4	194
CREBBP	PhenoAge	5	2.28221903262689e-07	0.000320863564887126	0	5	195
MBP	PhenoAge	5	2.49619374694675e-07	0.000894031838167303	0	5	196
FAM207A	PhenoAge	5	2.79958247024489e-07	0.000416457385690202	1	4	197
SLC20A2	PhenoAge	5	3.15119155675969e-07	0.000507730818880097	0	5	198
NTM	PhenoAge	5	4.11340401510506e-07	0.000369810593427591	0	5	199
TP73	PhenoAge	5	4.7876352448118e-07	0.000493931754619751	1	4	200
PWWP2B	PhenoAge	5	5.5083118175023e-07	0.00054282079127699	0	5	201
ARHGAP39	PhenoAge	5	5.84260162156376e-07	0.000282335678997801	0	5	202
CUX2	PhenoAge	5	6.12585666598455e-07	0.000386136998262879	0	5	203
ZDHHC14	PhenoAge	5	6.55944225419978e-07	0.000933227184741976	0	5	204
HERC2	PhenoAge	5	7.32146874309694e-07	0.000277369476000408	0	5	205
ITIH5	PhenoAge	5	7.75136262961714e-07	0.000362914565789858	0	5	206
TOLLIP	PhenoAge	5	8.60102653031527e-07	0.000328497624682922	0	5	207
PRDM15	PhenoAge	5	8.79841852749276e-07	0.000481802693002845	0	5	208
TUBGCP2	PhenoAge	5	9.30831881073053e-07	0.000364439174844159	0	5	209
BRD9	PhenoAge	5	1.00803137294767e-06	0.000283112955149254	0	5	210
XKR6	PhenoAge	5	1.04678720335631e-06	0.000333135842879521	0	5	211
CCDC57	PhenoAge	5	1.06275022996614e-06	0.000616221677307197	1	4	212
MSRA	PhenoAge	5	1.15451023735351e-06	0.000370935898304045	0	5	213
MAPK8IP3	PhenoAge	5	1.22976857315658e-06	0.000265389542922523	0	5	214
HOXB-AS3, HOXB3	PhenoAge	5	1.23481980085298e-06	0.000899681985576701	0	5	215
NFIA	PhenoAge	5	1.28398361364363e-06	0.000508154907667784	0	5	216
MYOM2	PhenoAge	5	1.3869289372242e-06	0.000713590457841953	1	4	217
UHRF1	PhenoAge	5	1.53485906763293e-06	0.000552723077477868	0	5	218
FCGBP	PhenoAge	5	1.57326529407966e-06	0.000775889808247073	0	5	219
CELF4	PhenoAge	5	1.61338057011623e-06	0.000518154792251141	0	5	220
SLC19A1	PhenoAge	5	1.7361983436957e-06	0.000496682517487536	0	5	221
MACROD1	PhenoAge	5	1.79396817867092e-06	0.000229918899932796	0	5	222
FARP1	PhenoAge	5	1.9000172548286e-06	0.000355722388179049	0	5	223
MYT1L	PhenoAge	5	2.20051119930647e-06	0.000401531349089041	0	5	224
MUC4	PhenoAge	5	2.24602949035391e-06	0.000870916056534374	0	5	225
VGLL4	PhenoAge	5	2.28397709274964e-06	0.000302572249733953	0	5	226
DNAH17	PhenoAge	5	2.30499303754517e-06	0.000303298782961788	0	5	227
PHRF1	PhenoAge	5	2.42087528858879e-06	0.000331463606493641	0	5	228
GPR133	PhenoAge	5	2.52602482940741e-06	0.000435301227630387	1	4	229
SFSWAP	PhenoAge	5	2.83737523827382e-06	0.000321187867201249	0	5	230
LMTK2	PhenoAge	5	2.8414742071501e-06	0.000163557605995827	1	4	231
WDR60	PhenoAge	5	3.02199225290592e-06	0.000431129028961523	0	5	232
RUNX1	PhenoAge	5	3.352936877008e-06	0.000253583261569706	1	4	233
TPCN2	PhenoAge	5	4.0047560538775e-06	0.000519513181541643	0	5	234
CARS2	PhenoAge	5	4.0279123225837e-06	0.000334866519787582	0	5	235
SNX29P2	PhenoAge	5	4.79504388456567e-06	0.000301464921799502	0	5	236
RPH3AL	PhenoAge	5	5.18335529017175e-06	0.000700401345192984	1	4	237
RCN1	PhenoAge	5	5.50426975113925e-06	0.000493217505880167	0	5	238
MRPL23	PhenoAge	5	6.23315371264427e-06	0.000204433315308343	0	5	239
NOTCH4	PhenoAge	5	6.74871202576592e-06	0.000235569305728189	0	5	240
HGS	PhenoAge	5	6.9925104716871e-06	0.000290677556676691	0	5	241
TELO2	PhenoAge	5	7.62003093300125e-06	0.000189217824999592	0	5	242
WRAP73	PhenoAge	5	7.62320838029864e-06	0.000226673415179296	1	4	243
C1orf159	PhenoAge	5	9.0311125130112e-06	0.000269098203431962	0	5	244
ITPR3	PhenoAge	5	9.03741543063805e-06	0.000298769225341243	1	4	245
CRYL1	PhenoAge	5	1.01468538436106e-05	0.000569982477343333	0	5	246
RADIL	PhenoAge	5	1.10455448490819e-05	0.000454645363375471	0	5	247
ZFR2	PhenoAge	5	1.23119995948823e-05	0.000409737044874678	0	5	248
MYH9	PhenoAge	5	1.35285927800866e-05	0.00026695925813926	0	5	249
SPG7	PhenoAge	5	1.52532400232969e-05	0.000220928096714475	0	5	250
CRAMP1L, LA16c-431H6.6	PhenoAge	5	1.54862530000349e-05	0.000278491918438878	0	5	251
SYNGAP1	PhenoAge	5	1.6285959647102e-05	0.000334578105589264	0	5	252
CACNA1H	PhenoAge	5	1.64680155686551e-05	0.000396495909223392	0	5	253
HIPK2	PhenoAge	5	1.88737123727831e-05	0.000509899611601984	1	4	254
AXIN1	PhenoAge	5	2.24364952512871e-05	0.000259473990223162	0	5	255
WDR90	PhenoAge	5	2.39923842596837e-05	0.000480148146812421	0	5	256
AZI1	PhenoAge	5	2.46128225559831e-05	0.000265156073168015	0	5	257
OGFOD3	PhenoAge	5	2.51058617099408e-05	0.000257456303669875	0	5	258
RIMBP2	PhenoAge	5	3.26326705821529e-05	0.000205920525396168	0	5	259
ATP2A3	PhenoAge	5	3.68383077357405e-05	0.000244682022075658	0	5	260
