Gene	PC1_nCohorts	PC1_mean_loading	PC1_max_abs_loading	PC1_present_UKB	PC1_present_CKB	PC1_present_NHS1	PC1_organs_collapsed	PC1_consensus2	PC1_consensus3	PC1_abs_mean_loading
SOWAHA	3	-0.00245241720446285	0.141829588840638	1	1	1	Brain	1	1	0.00245241720446285
CA14	3	-0.0246635595197445	0.105539494342102	1	1	1	Brain	1	1	0.0246635595197445
CSPG5	3	0.0107453739273919	0.1886834592534	1	1	1	Brain	1	1	0.0107453739273919
VSTM2B	3	0.0167212348924061	0.176422505797861	1	1	1	Brain	1	1	0.0167212348924061
CNTNAP4	3	-0.0185242159760419	0.0584032762277699	1	1	1	Brain	1	1	0.0185242159760419
ATP1B2	3	-0.00924271850275743	0.114609212614278	1	1	1	Brain	1	1	0.00924271850275743
CNTF	3	-0.0398804535438447	0.0757980305976564	1	1	1	Brain	1	1	0.0398804535438447
CDH22	3	0.0277601902996582	0.218406840676417	1	1	1	Brain	1	1	0.0277601902996582
IGSF21	3	-0.0367009226557827	0.0664284767237735	1	1	1	Brain	1	1	0.0367009226557827
MDGA1	3	-0.0237496200389861	0.065413998985646	1	1	1	Brain	1	1	0.0237496200389861
DOC2B	3	-0.0460454755273977	0.0565207240681174	1	1	1	Brain	1	1	0.0460454755273977
TMEM132A	3	-0.019986378063039	0.0836680353175859	1	1	1	Brain	1	1	0.019986378063039
RAB6B	3	-0.0196005650533703	0.048000024663253	1	1	1	Brain	1	1	0.0196005650533703
GAD1	3	0.00532246536660994	0.124996703028854	1	1	1	Brain	1	1	0.00532246536660994
ELAVL4	3	-0.0251433763956103	0.0489205408163	1	1	1	Brain	1	1	0.0251433763956103
EXTL1	3	-0.0187908590296845	0.0643990079932964	1	1	1	Brain	1	1	0.0187908590296845
C1QL2	3	-0.00941927514964934	0.0823124322089174	1	1	1	Brain	1	1	0.00941927514964934
TSPAN7	3	-0.01664652430525	0.0760377646115026	1	1	1	Brain	1	1	0.01664652430525
ATP6V1G2	3	-0.0207945720204954	0.0431904651731392	1	1	1	Brain	1	1	0.0207945720204954
LCN15	3	-0.0321948667553499	0.0748901215516148	1	1	1	Brain	1	1	0.0321948667553499
GRIN2B	3	-0.0188762086223269	0.0534542625060083	1	1	1	Brain	1	1	0.0188762086223269
FGFBP2	3	-0.0150641278937303	0.0404262024463692	1	1	1	Brain	1	1	0.0150641278937303
RTN4R	3	-0.0225470580999147	0.0587519642908766	1	1	1	Brain	1	1	0.0225470580999147
GAD2	3	-0.0337130816531801	0.0518051551390754	1	1	1	Brain	1	1	0.0337130816531801
NGFR	3	0.0227857471226845	0.199525917305031	1	1	1	Brain	1	1	0.0227857471226845
CEND1	3	-0.020828127300633	0.0666918187557692	1	1	1	Brain	1	1	0.020828127300633
GPR101	3	0.0338859870564186	0.210716576594446	1	1	1	Brain	1	1	0.0338859870564186
FLT3	3	-0.0150980392818747	0.0450750840750702	1	1	1	Brain	1	1	0.0150980392818747
GABRA4	3	-0.0292439924103181	0.0627251911605949	1	1	1	Brain	1	1	0.0292439924103181
APLP1	3	-0.0386359802574166	0.134320190455352	1	1	1	Brain	1	1	0.0386359802574166
CPLX2	2	-0.0449454874280036	0.057193886069326	1	1	0	Brain	1	0	0.0449454874280036
TBR1	3	-0.0318225543638328	0.0656572969178321	1	1	1	Brain	1	1	0.0318225543638328
CBLN1	3	-0.000833985286295446	0.086214221973637	1	1	1	Brain	1	1	0.000833985286295446
