gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
BAIAP2	Horvath	6	0.000175420068194328	0.000388893065240735	0	6	83
B3GNTL1	Horvath	6	0.000182816461106241	0.000305647754655962	0	6	84
KDM4B	Horvath	6	0.000189162858270848	0.000320407910819209	0	6	85
GLI2	Horvath	6	0.000203453693711791	0.000389768651605145	0	6	86
UVSSA	Horvath	6	0.000270241269123135	0.000273308558163037	0	6	87
AMZ1	Horvath	6	0.00027157786425146	0.000283895235205417	1	5	88
NPHP4	Horvath	6	0.000272571231413017	0.000336305835374655	0	6	89
PRKAG2	Horvath	6	0.000289237480776912	0.000372950737579564	0	6	90
WDR27	Horvath	6	0.000303659367116446	0.000284882019596688	0	6	91
ZFHX3	Horvath	6	0.00037926898072919	0.000394123358256367	0	6	92
LRP1	Horvath	6	0.000426225010030037	0.000330985030694487	0	6	93
DENND3	Horvath	6	0.000557870508068972	0.000349298882378324	0	6	94
SORBS2	Horvath	6	0.000800329147004705	0.00044046914027591	0	6	95
ZC3H3	Horvath	6	0.000927851305190852	0.000344283347479141	0	6	96
LINC00689	Horvath	5	1.17712101673228e-07	0.000527598594567559	0	5	97
HERC2	Horvath	5	4.047005857067e-05	0.000265553578835588	0	5	98
SHC2	Horvath	5	4.43353060205008e-05	0.000417222414385855	0	5	99
MYO10	Horvath	5	5.61875497843562e-05	0.000442375798469297	0	5	100
PFKP	Horvath	5	7.33471013480583e-05	0.00023641198458868	0	5	101
GRAMD4	Horvath	5	8.28259153870265e-05	0.000493000851602175	0	5	102
CA5A	Horvath	5	8.82426060264086e-05	0.00046107672289055	0	5	103
KCNQ1, KCNQ1OT1	Horvath	5	8.88195805633972e-05	0.000601926409014081	0	5	104
CACNA1H	Horvath	5	8.99942033544532e-05	0.000394900225721289	0	5	105
TRRAP	Horvath	5	0.000111664932296467	0.000289629651925167	0	5	106
KLHL29	Horvath	5	0.000148788598282434	0.000350129303234758	0	5	107
TOLLIP	Horvath	5	0.000166915969120867	0.00020873350039276	0	5	108
MAPK8IP3	Horvath	5	0.000170781132890592	0.000365990243215934	0	5	109
HGS	Horvath	5	0.00019219247792193	0.000350524212017689	0	5	110
PLEKHG4B	Horvath	5	0.000243557643409506	0.000457665340283882	0	5	111
ZNF423	Horvath	5	0.000249617638034484	0.0003457025467827	0	5	112
PTPRS	Horvath	5	0.000255417006879996	0.000296898816085848	0	5	113
PSMG4, SLC22A23	Horvath	5	0.000263975150434977	0.000290343136145001	0	5	114
TNS3	Horvath	5	0.000270935450091064	0.0005762640499318	0	5	115
RP11-1055B8.7	Horvath	5	0.000274558233266361	0.000307744530468364	0	5	116
HOXA-AS2, HOXA3	Horvath	5	0.000294521627403264	0.000310523002951931	0	5	117
COL5A1	Horvath	5	0.000297140178255374	0.000458850177250422	0	5	118
GOLGA3	Horvath	5	0.000368652514341505	0.000335833204716779	0	5	119
EHMT2	Horvath	5	0.000371104196212816	0.000254419520790044	0	5	120
PXDN	Horvath	5	0.000395382119252191	0.000328607275869431	0	5	121
ANKRD11	Horvath	5	0.000420311188222172	0.000436165276574077	0	5	122
ARHGEF16	Horvath	5	0.000436947777684732	0.000474674575019836	0	5	123
MYT1L	Horvath	5	0.00046369348900813	0.000454570359852564	0	5	124
FAM101A	Horvath	5	0.000500575723353469	0.000328159748022235	0	5	125
CARD14	Horvath	5	0.000708152848834006	0.000308054975902315	0	5	126
MACROD1	Horvath	5	0.000839014481133374	0.000279415545941993	0	5	127
PCGF3	Horvath	5	0.00138139194876752	0.000342494394023219	0	5	128
ACOT7	Horvath	4	4.71752051853955e-06	0.000278704194811055	0	4	129
POR	Horvath	4	7.46917606073745e-06	0.000286192565078216	0	4	130
ADAP1, COX19	Horvath	4	1.67738213035939e-05	0.000419635800906645	1	3	131
TFDP1	Horvath	4	2.27315306701947e-05	0.000285537275298427	1	3	132
CAMTA1	Horvath	4	2.32824488399874e-05	0.000407464405915748	0	4	133
CTBP2	Horvath	4	2.82418755029428e-05	0.000542846374513666	0	4	134
ERICH1	Horvath	4	3.43183173137165e-05	0.000485763888700251	0	4	135
CMIP	Horvath	4	3.76856629904141e-05	0.000388728831203997	0	4	136
COL18A1	Horvath	4	5.02081738505946e-05	0.000746301525546168	0	4	137
DPYSL4	Horvath	4	5.87573446827413e-05	0.000413615443149243	0	4	138
KAZN	Horvath	4	6.26818896596671e-05	0.00036039489129529	0	4	139
FAM20C	Horvath	4	6.61724248360546e-05	0.000304084714158227	0	4	140
CDC42BPB	Horvath	4	6.96663989896695e-05	0.000373374473044575	0	4	141
